IDs         length   Exptl.  resolution  R-factor FreeRvalue
3IEV        308      XRAY        1.900    0.18    0.23
5C0Y        804      XRAY        2.100    0.15    0.18
1FXL        167      XRAY        1.800    0.19    0.24
4KR6        776      XRAY        2.850    0.19    0.23
4ZCF       2258      XRAY        2.600    0.22    0.26
4S2X        161      XRAY        1.500    0.19    0.22
2ANR        178      XRAY        1.940    0.23    0.27
3B0U        700      XRAY        1.950    0.18    0.22
2FK6        320      XRAY        2.900    0.25    0.30
4QU6        107      XRAY        1.750    0.18    0.25
2BGG        854      XRAY        2.200    0.18    0.24
4PEI       1780      XRAY        1.950    0.19    0.23
1SER        842      XRAY        2.900    0.19    1.00
2DU3       1068      XRAY        2.600    0.20    0.25
3BSO        510      XRAY        1.740    0.20    0.23
5C9H        606      XRAY        3.000    0.24    0.29
3RTJ        529      XRAY        3.000    0.20    1.00
1JBS        298      XRAY        1.970    0.22    0.26
4WAN        516      XRAY        1.800    0.18    0.21
3KMQ        476      XRAY        2.110    0.24    0.27
2CT8        994      XRAY        2.700    0.22    0.27
5O58        338      XRAY        1.550    0.16    0.18
3IAB        298      XRAY        2.700    0.25    0.27
4ATO        194      XRAY        2.200    0.16    0.19
2XS2        102      XRAY        1.350    0.16    0.19
1GAX       1724      XRAY        2.900    0.24    0.27
4RMO       1240      XRAY        2.200    0.20    0.23
4OAV       1398      XRAY        2.100    0.20    0.23
5I4A       1284      XRAY        1.950    0.22    0.24
2GXB        132      XRAY        2.250    0.20    0.24
3O8C       1332      XRAY        2.000    0.20    0.23
4OOG        481      XRAY        2.500    0.22    0.24
3RW6        534      XRAY        2.300    0.21    0.26
4YCO        963      XRAY        2.100    0.19    0.22
4I67         87      XRAY        2.330    0.18    0.23
4EJT        302      XRAY        3.000    0.24    0.28
5DO4        294      XRAY        1.860    0.19    0.22
6CMN        119      XRAY        1.800    0.19    0.22
1PGL        555      XRAY        2.800    0.20    1.00
5AOR       2586      XRAY        2.080    0.19    0.22
3SNP       1816      XRAY        2.800    0.20    0.22
1KNZ       1312      XRAY        2.450    0.23    0.28
5I9F        460      XRAY        2.190    0.25    0.30
6B14        440      XRAY        1.640    0.21    0.23
3RC8        677      XRAY        2.900    0.18    0.24
2X1F         96      XRAY        1.600    0.21    0.24
5JAJ        681      XRAY        1.500    0.14    0.17
2ZUE        629      XRAY        2.000    0.22    0.25
4RDX        423      XRAY        2.550    0.21    0.26
1J1U        306      XRAY        1.950    0.19    0.24
1SDS        351      XRAY        1.800    0.21    0.23
3MOJ         76      XRAY        2.900    0.22    0.28
2BU1        387      XRAY        2.200    0.22    0.24
5L2L        308      XRAY        1.550    0.13    0.15
5VW1       1459      XRAY        2.600    0.18    0.23
3AVX       1289      XRAY        2.410    0.23    0.28
5SZE         83      XRAY        1.500    0.15    0.17
2PO1        526      XRAY        1.940    0.19    0.24
5UD5        218      XRAY        2.350    0.22    0.24
1U0B        461      XRAY        2.300    0.29    0.28
1Q2R       1544      XRAY        2.900    0.18    0.23
4RCJ        191      XRAY        1.600    0.17    0.21
4O8J        682      XRAY        2.040    0.16    0.20
2A1R        860      XRAY        2.600    0.22    0.24
2VOO        386      XRAY        1.800    0.25    0.28
4Z4D        859      XRAY        1.600    0.16    0.19
5WZJ        582      XRAY        2.100    0.18    0.20
5V7C        162      XRAY        2.590    0.21    0.23
4L8H        264      XRAY        2.400    0.26    0.29
2B3J        636      XRAY        2.000    0.21    0.24
6GX6        170      XRAY        2.000    0.18    0.24
6F3H       1664      XRAY        2.700    0.20    0.24
5CCB        786      XRAY        2.000    0.20    0.22
4FTB       1221      XRAY        2.700    0.24    1.00
4OHY        431      XRAY        2.000    0.18    0.23
2FMT        628      XRAY        2.800    0.25    0.29
1N35       1267      XRAY        2.500    0.21    0.26
1B2M        208      XRAY        2.000    0.19    0.25
3QJL        486      XRAY        2.700    0.22    0.26
5BS3       1384      XRAY        2.650    0.17    0.21
2BH2        866      XRAY        2.150    0.18    0.23
3PF4        134      XRAY        1.380    0.16    0.19
4MDX        234      XRAY        1.500    0.17    0.18
3ER9        776      XRAY        2.060    0.21    0.25
5AMR       2264      XRAY        2.570    0.21    0.25
6D30        191      XRAY        1.170    0.15    0.17
1JID        128      XRAY        1.800    0.19    0.22
5NS3        354      XRAY        2.400    0.25    0.28
1MMS        280      XRAY        2.570    0.22    0.25
1YVP       1076      XRAY        2.200    0.20    0.24
4C8Y        486      XRAY        1.800    0.19    0.22
2QUX       1500      XRAY        2.440    0.18    0.24
6D12        226      XRAY        2.210    0.23    0.27
4XBF        799      XRAY        2.800    0.20    0.23
3MDI        454      XRAY        2.070    0.18    0.23
4QM6        342      XRAY        1.500    0.15    0.17
2XLK        382      XRAY        1.810    0.19    0.22
2XZO        623      XRAY        2.400    0.20    0.23
1G1X        548      XRAY        2.600    0.27    0.30
4GV3        214      XRAY        1.680    0.20    0.22
5GXH        757      XRAY        1.800    0.16    0.20
3T5N        354      XRAY        1.790    0.18    0.21
1H4S        954      XRAY        2.850    0.21    0.24
2F8K         88      XRAY        2.000    0.23    0.28
3V71        382      XRAY        2.900    0.21    0.24
3WZI        220      XRAY        2.900    0.21    0.23
4PDB        155      XRAY        2.600    0.19    0.26
5BUD        784      XRAY        1.990    0.19    0.24
1QTQ        553      XRAY        2.250    0.24    0.25
3OVB        882      XRAY        1.950    0.21    0.25
5Z9X        409      XRAY        2.800    0.25    0.26
1FEU        412      XRAY        2.300    0.21    0.24
2I82        868      XRAY        2.050    0.23    0.26
5O1Y        180      XRAY        2.450    0.20    0.22
3L25        516      XRAY        2.000    0.17    0.21
4N0T        374      XRAY        1.700    0.18    0.21
5WTK       1397      XRAY        2.650    0.26    0.27
5AXM        502      XRAY        2.210    0.22    0.24
4M7D       1334      XRAY        2.590    0.24    0.28
2AZX        954      XRAY        2.800    0.23    0.25
5JRC        874      XRAY        1.900    0.21    0.23
5WWW         94      XRAY        1.800    0.17    0.21
5WLH       1440      XRAY        1.800    0.19    0.22
2BX2        517      XRAY        2.850    0.23    0.26
3A6P       2840      XRAY        2.920    0.25    0.31
3BT7        738      XRAY        2.430    0.23    0.29
2VNU        760      XRAY        2.300    0.22    0.28
1N78        936      XRAY        2.100    0.22    0.26
4AFY        548      XRAY        2.010    0.21    0.24
3EPH        818      XRAY        2.950    0.20    0.24
5HR7        808      XRAY        2.400    0.22    0.25
1K8W        327      XRAY        1.850    0.18    0.21
2ZI0        150      XRAY        2.820    0.22    0.28
1GTF       1628      XRAY        1.750    0.19    0.24
4JNG        932      XRAY        2.120    0.27    0.28
4QU7        324      XRAY        2.500    0.20    0.25
1H2C        140      XRAY        1.600    0.17    0.18
3AGV        422      XRAY        2.150    0.24    0.28
5X6B       1266      XRAY        2.600    0.23    0.26
3R2C        462      XRAY        1.900    0.17    0.20
5ZW4        225      XRAY        1.700    0.19    0.22
4N48        856      XRAY        2.700    0.18    0.24
5DET        196      XRAY        1.950    0.19    0.24
4XWW       1118      XRAY        1.700    0.20    0.22
2PJP        121      XRAY        2.300    0.20    0.25
4J7M        378      XRAY        1.700    0.20    0.21
5ELK        133      XRAY        2.300    0.18    0.22
2GIC       2110      XRAY        2.920    0.26    0.31
3FOZ        632      XRAY        2.500    0.24    0.27
2NUG        442      XRAY        1.700    0.19    0.22
4R8I         77      XRAY        2.050    0.20    0.25
5WTY       1174      XRAY        2.790    0.18    0.24
5M3H       2357      XRAY        2.500    0.21    0.24
